Month,Year,Amount (USD millions)
January,2021,"4,172"
January,2020,311m
January,2019,451m
February,2021,"3,998"
February,2020,307m
February,2019,477m
March,2021,"4,628"
March,2020,739m
March,2019,550m
April,2021,-1
April,2020,662
April,2019,428
May,2021,-1
May,2020,438
May,2019,262
June,2021,-1
June,2020,570
June,2019,382
July,2021,-1
July,2020,"3,251"
July,2019,"2,426"
August,2021,-1
August,2020,"2,935"
August,2019,"2,147"
September,2021,-1
September,2020,"3,841"
September,2019,"3,541"
October,2021,-1
October,2020,"3,429"
October,2019,"3,054"
November,2021,-1
November,2020,"5,244"
November,2019,"3,974"
December,2021,-1
December,2020,"5,806"
December,2019,"4,732"
